transcript_id,token_num,type_num,charactor_token_num,charactor_type_num,logTTR,duration,Wpm
transcript_1267,6301,1254,9410,930,0.8154681808101795,1799.2999999999995,313.788695603846
transcript_3470,5504,1130,8108,845,0.816183081361177,1799.0300000000002,270.4123888984619
transcript_5001,6261,1112,9489,872,0.8023151564654809,1798.9800000000005,316.4793382916985
transcript_2008,5890,1081,8910,803,0.8047036911969638,1799.0099999999998,297.1634398919406
transcript_4479,6081,1200,9236,922,0.8137424912349023,1799.8799999999987,307.8871924794988
transcript_3316,6535,1248,9551,934,0.8115374255084434,1798.9400000000012,318.5542597307301
transcript_690,5625,1128,8636,835,0.8139224992910796,1798.6000000000004,288.09073724007555
transcript_848,6069,1203,9021,923,0.8142136538185917,1799.8799999999997,300.72004800320025
transcript_1501,5388,1149,8240,886,0.8201472378315512,1799.1600000000003,274.794904288668
transcript_684,7027,1332,10216,950,0.8122409872628875,1798.98,340.72641163325886
transcript_1515,6362,1494,9894,1078,0.834566170114338,1799.84,329.82931816161437
transcript_3302,6267,1160,9445,916,0.8070607879840194,1799.2499999999995,314.96456857023765
transcript_3464,6341,1138,9230,858,0.8037915469176415,1799.6000000000006,307.73505223382966
transcript_5015,6340,1209,9435,876,0.8107190788514237,1797.69,314.9041269629358
transcript_1273,5228,989,7667,773,0.8055207035607045,1799.1500000000008,255.68740794263948
transcript_4323,7533,1133,11138,800,0.7877882756627409,1799.2500000000002,371.42142559399747
transcript_2752,4793,1073,7204,804,0.8233966214636776,1798.11,240.38573835860987
transcript_874,6103,1062,9073,810,0.7993897364277587,1798.9499999999998,302.60985574918703
transcript_2034,6050,1227,8996,928,0.8167753481439446,1798.9399999999987,300.04335886688847
transcript_4445,6150,1401,9610,996,0.8304412362881051,1799.4899999999996,320.42412016738086
transcript_2020,5855,931,8928,730,0.788036757334781,1799.1000000000006,297.7488744372185
transcript_4451,6336,1285,8991,919,0.8177417864391687,1799.8599999999997,299.7233118131411
transcript_860,5728,1070,9271,854,0.8061153144871089,1799.1600000000003,309.177616220903
transcript_1529,6094,1224,9391,873,0.8158153238274375,1799.4299999999998,313.132491955786
transcript_3458,6471,1170,9219,904,0.805092859497529,1799.0699999999997,307.45885374109963
transcript_4337,5305,1194,8251,874,0.8261112029785386,1798.6999999999994,275.23211208094745
transcript_5029,6263,1386,9242,1017,0.827480453078687,1799.8900000000008,308.085494113529
transcript_2746,6927,1204,10326,894,0.802132597434005,1798.7699999999995,344.4353641655132
transcript_2975,5971,1095,8918,801,0.8049195526116415,1798.4100000000003,297.52948437786705
transcript_135,5395,1011,8065,769,0.8051334513054402,1797.5699999999997,269.19674894440834
transcript_653,5484,996,8480,768,0.8018671301377737,1798.5299999999995,282.8976997881604
transcript_647,6182,1194,9109,926,0.8116327157960231,1799.57,303.7058852948204
transcript_121,6361,1135,9572,849,0.8032011210131726,1799.5000000000002,319.15532092247844
transcript_2961,6176,1084,8999,861,0.8006498661472649,1796.6600000000003,300.5243062126389
transcript_109,4944,1168,7620,874,0.830367539364225,1798.3500000000004,254.23304695971302
transcript_1298,6159,1099,9043,843,0.8024777685361957,1794.39,302.37573771588114
transcript_2791,6205,1092,9314,825,0.8010623474859185,1799.4900000000007,310.5546571528598
transcript_2949,5737,1131,8749,863,0.8123752660510916,1799.4100000000003,291.728955602114
transcript_4486,5540,925,8699,762,0.7923424591238402,1798.2499999999986,290.2488530515781
transcript_4492,5876,1312,8738,973,0.8272396331902272,1799.4800000000002,291.3508346855758
